Ran for I = 103.288, e0=0.003, amp=0.057
Ran for I = 103.328, e0=0.003, amp=0.057
Ran for I = 103.368, e0=0.003, amp=0.057
Ran for I = 103.408, e0=0.003, amp=0.057
Ran for I = 103.448, e0=0.003, amp=0.057
Ran for I = 103.488, e0=0.003, amp=0.057
Ran for I = 103.529, e0=0.003, amp=0.057
Ran for I = 103.569, e0=0.003, amp=0.057
Ran for I = 103.609, e0=0.003, amp=0.058
Ran for I = 103.649, e0=0.003, amp=0.058
Ran for I = 103.689, e0=0.003, amp=0.058
Ran for I = 103.729, e0=0.003, amp=0.058
Ran for I = 103.769, e0=0.003, amp=0.058
Ran for I = 103.809, e0=0.003, amp=0.058
Ran for I = 103.849, e0=0.003, amp=0.058
Ran for I = 103.889, e0=0.003, amp=0.058
Ran for I = 103.929, e0=0.003, amp=0.058
Ran for I = 103.969, e0=0.003, amp=0.058
Ran for I = 104.009, e0=0.003, amp=0.058
Ran for I = 104.049, e0=0.003, amp=0.058
Ran for I = 104.089, e0=0.003, amp=0.058
Ran for I = 104.129, e0=0.003, amp=0.058
Ran for I = 104.169, e0=0.003, amp=0.058
Ran for I = 104.209, e0=0.003, amp=0.058
Ran for I = 104.249, e0=0.003, amp=0.058
Ran for I = 104.289, e0=0.003, amp=0.058
Ran for I = 104.329, e0=0.003, amp=0.058
Ran for I = 104.369, e0=0.003, amp=0.057
Ran for I = 104.409, e0=0.003, amp=0.053
Ran for I = 104.449, e0=0.003, amp=0.047
Ran for I = 104.489, e0=0.003, amp=0.048
Ran for I = 104.530, e0=0.003, amp=0.054
Ran for I = 104.570, e0=0.003, amp=0.058
Ran for I = 104.610, e0=0.003, amp=0.059
Ran for I = 104.650, e0=0.003, amp=0.059
Ran for I = 104.690, e0=0.003, amp=0.059
Ran for I = 104.730, e0=0.003, amp=0.059
Ran for I = 104.770, e0=0.003, amp=0.059
Ran for I = 104.810, e0=0.003, amp=0.059
Ran for I = 104.850, e0=0.003, amp=0.059
Ran for I = 104.890, e0=0.003, amp=0.059
Ran for I = 104.930, e0=0.003, amp=0.059
Ran for I = 104.970, e0=0.003, amp=0.059
Ran for I = 105.010, e0=0.003, amp=0.059
Ran for I = 105.050, e0=0.003, amp=0.059
Ran for I = 105.090, e0=0.003, amp=0.059
Ran for I = 105.130, e0=0.003, amp=0.059
Ran for I = 105.170, e0=0.003, amp=0.060
Ran for I = 105.210, e0=0.003, amp=0.060
Ran for I = 105.250, e0=0.003, amp=0.060
Ran for I = 105.290, e0=0.003, amp=0.060
Ran for I = 105.330, e0=0.003, amp=0.060
Ran for I = 105.370, e0=0.003, amp=0.060
Ran for I = 105.410, e0=0.003, amp=0.060
Ran for I = 105.450, e0=0.003, amp=0.060
Ran for I = 105.490, e0=0.003, amp=0.060
Ran for I = 105.531, e0=0.003, amp=0.060
Ran for I = 105.571, e0=0.003, amp=0.060
Ran for I = 105.611, e0=0.003, amp=0.060
Ran for I = 105.651, e0=0.003, amp=0.060
Ran for I = 105.691, e0=0.003, amp=0.060
Ran for I = 105.731, e0=0.003, amp=0.060
Ran for I = 105.771, e0=0.003, amp=0.060
Ran for I = 105.811, e0=0.003, amp=0.060
Ran for I = 105.851, e0=0.003, amp=0.060
Ran for I = 105.891, e0=0.003, amp=0.061
Ran for I = 105.931, e0=0.003, amp=0.061
Ran for I = 105.971, e0=0.003, amp=0.061
Ran for I = 106.011, e0=0.003, amp=0.061
Ran for I = 106.051, e0=0.003, amp=0.061
Ran for I = 106.091, e0=0.003, amp=0.061
Ran for I = 106.131, e0=0.003, amp=0.061
Ran for I = 106.171, e0=0.003, amp=0.061
Ran for I = 106.211, e0=0.003, amp=0.061
Ran for I = 106.251, e0=0.003, amp=0.061
Ran for I = 106.291, e0=0.003, amp=0.061
Ran for I = 106.331, e0=0.003, amp=0.061
Ran for I = 106.371, e0=0.003, amp=0.061
Ran for I = 106.411, e0=0.003, amp=0.061
Ran for I = 106.451, e0=0.003, amp=0.062
Ran for I = 106.491, e0=0.003, amp=0.061
Ran for I = 106.532, e0=0.003, amp=0.062
Ran for I = 106.572, e0=0.003, amp=0.062
Ran for I = 106.612, e0=0.003, amp=0.062
Ran for I = 106.652, e0=0.003, amp=0.062
Ran for I = 106.692, e0=0.003, amp=0.062
Ran for I = 106.732, e0=0.003, amp=0.062
Ran for I = 106.772, e0=0.003, amp=0.062
Ran for I = 106.812, e0=0.003, amp=0.062
Ran for I = 106.852, e0=0.003, amp=0.062
Ran for I = 106.892, e0=0.003, amp=0.062
Ran for I = 106.932, e0=0.003, amp=0.062
Ran for I = 106.972, e0=0.003, amp=0.062
Ran for I = 107.012, e0=0.003, amp=0.062
Ran for I = 107.052, e0=0.003, amp=0.063
Ran for I = 107.092, e0=0.003, amp=0.063
Ran for I = 107.132, e0=0.003, amp=0.063
Ran for I = 107.172, e0=0.003, amp=0.063
Ran for I = 107.212, e0=0.003, amp=0.063
Ran for I = 107.252, e0=0.003, amp=0.063
Ran for I = 107.292, e0=0.003, amp=0.063
Ran for I = 107.332, e0=0.003, amp=0.063
Ran for I = 107.372, e0=0.003, amp=0.063
Ran for I = 107.412, e0=0.003, amp=0.063
Ran for I = 107.452, e0=0.003, amp=0.063
Ran for I = 107.492, e0=0.003, amp=0.063
Ran for I = 107.533, e0=0.003, amp=0.063
Ran for I = 107.573, e0=0.003, amp=0.063
Ran for I = 107.613, e0=0.003, amp=0.064
Ran for I = 107.653, e0=0.003, amp=0.064
Ran for I = 107.693, e0=0.003, amp=0.064
Ran for I = 107.733, e0=0.003, amp=0.064
Ran for I = 107.773, e0=0.003, amp=0.064
Ran for I = 107.813, e0=0.003, amp=0.064
Ran for I = 107.853, e0=0.003, amp=0.064
Ran for I = 107.893, e0=0.003, amp=0.064
