Ran for I = 105.851, e0=0.003, amp=4.682
Ran for I = 105.891, e0=0.003, amp=4.715
Ran for I = 105.931, e0=0.003, amp=4.734
Ran for I = 105.971, e0=0.003, amp=4.751
Ran for I = 106.011, e0=0.003, amp=4.769
Ran for I = 106.051, e0=0.003, amp=4.786
Ran for I = 106.091, e0=0.003, amp=4.803
Ran for I = 106.131, e0=0.003, amp=4.820
Ran for I = 106.171, e0=0.003, amp=4.838
Ran for I = 106.211, e0=0.003, amp=4.854
Ran for I = 106.251, e0=0.003, amp=4.872
Ran for I = 106.291, e0=0.003, amp=4.889
Ran for I = 106.331, e0=0.003, amp=4.907
Ran for I = 106.371, e0=0.003, amp=4.922
Ran for I = 106.411, e0=0.003, amp=4.941
Ran for I = 106.451, e0=0.003, amp=4.960
Ran for I = 106.491, e0=0.003, amp=4.967
Ran for I = 106.532, e0=0.003, amp=4.995
Ran for I = 106.572, e0=0.003, amp=5.003
Ran for I = 106.612, e0=0.003, amp=5.029
Ran for I = 106.652, e0=0.003, amp=5.047
Ran for I = 106.692, e0=0.003, amp=5.065
Ran for I = 106.732, e0=0.003, amp=5.080
Ran for I = 106.772, e0=0.003, amp=5.097
Ran for I = 106.812, e0=0.003, amp=5.116
Ran for I = 106.852, e0=0.003, amp=5.134
Ran for I = 106.892, e0=0.003, amp=5.152
Ran for I = 106.932, e0=0.003, amp=4.801
Ran for I = 106.972, e0=0.003, amp=4.081
Ran for I = 107.012, e0=0.003, amp=5.038
Ran for I = 107.052, e0=0.003, amp=5.223
Ran for I = 107.092, e0=0.003, amp=5.240
Ran for I = 107.132, e0=0.003, amp=5.258
Ran for I = 107.172, e0=0.003, amp=5.275
Ran for I = 107.212, e0=0.003, amp=5.293
Ran for I = 107.252, e0=0.003, amp=5.311
Ran for I = 107.292, e0=0.003, amp=5.329
Ran for I = 107.332, e0=0.003, amp=5.344
Ran for I = 107.372, e0=0.003, amp=5.364
Ran for I = 107.412, e0=0.003, amp=5.381
Ran for I = 107.452, e0=0.003, amp=5.400
Ran for I = 107.492, e0=0.003, amp=5.417
Ran for I = 107.533, e0=0.003, amp=5.435
Ran for I = 107.573, e0=0.003, amp=5.453
Ran for I = 107.613, e0=0.003, amp=5.469
Ran for I = 107.653, e0=0.003, amp=5.487
Ran for I = 107.693, e0=0.003, amp=5.507
Ran for I = 107.733, e0=0.003, amp=5.525
Ran for I = 107.773, e0=0.003, amp=5.542
Ran for I = 107.813, e0=0.003, amp=5.560
Ran for I = 107.853, e0=0.003, amp=5.576
Ran for I = 107.893, e0=0.003, amp=5.596
Ran for I = 107.933, e0=0.003, amp=5.614
Ran for I = 107.973, e0=0.003, amp=5.632
Ran for I = 108.013, e0=0.003, amp=5.629
Ran for I = 108.053, e0=0.003, amp=5.668
Ran for I = 108.093, e0=0.003, amp=5.686
Ran for I = 108.133, e0=0.003, amp=5.697
Ran for I = 108.173, e0=0.003, amp=5.722
Ran for I = 108.213, e0=0.003, amp=5.740
Ran for I = 108.253, e0=0.003, amp=5.758
Ran for I = 108.293, e0=0.003, amp=5.776
Ran for I = 108.333, e0=0.003, amp=5.794
Ran for I = 108.373, e0=0.003, amp=5.812
Ran for I = 108.413, e0=0.003, amp=5.828
Ran for I = 108.453, e0=0.003, amp=5.839
Ran for I = 108.493, e0=0.003, amp=5.866
Ran for I = 108.534, e0=0.003, amp=5.878
Ran for I = 108.574, e0=0.003, amp=5.901
Ran for I = 108.614, e0=0.003, amp=5.920
Ran for I = 108.654, e0=0.003, amp=5.939
Ran for I = 108.694, e0=0.003, amp=5.954
Ran for I = 108.734, e0=0.003, amp=5.974
Ran for I = 108.774, e0=0.003, amp=5.992
Ran for I = 108.814, e0=0.003, amp=6.011
Ran for I = 108.854, e0=0.003, amp=5.959
Ran for I = 108.894, e0=0.003, amp=6.042
Ran for I = 108.934, e0=0.003, amp=6.067
Ran for I = 108.974, e0=0.003, amp=6.082
Ran for I = 109.014, e0=0.003, amp=6.103
Ran for I = 109.054, e0=0.003, amp=6.120
Ran for I = 109.094, e0=0.003, amp=6.136
Ran for I = 109.134, e0=0.003, amp=6.159
Ran for I = 109.174, e0=0.003, amp=6.177
Ran for I = 109.214, e0=0.003, amp=6.195
Ran for I = 109.254, e0=0.003, amp=6.213
Ran for I = 109.294, e0=0.003, amp=6.232
Ran for I = 109.334, e0=0.003, amp=6.250
Ran for I = 109.374, e0=0.003, amp=6.221
Ran for I = 109.414, e0=0.003, amp=6.287
Ran for I = 109.454, e0=0.003, amp=6.305
Ran for I = 109.494, e0=0.003, amp=6.324
Ran for I = 109.535, e0=0.003, amp=6.335
Ran for I = 109.575, e0=0.003, amp=6.361
Ran for I = 109.615, e0=0.003, amp=6.378
Ran for I = 109.655, e0=0.003, amp=6.397
Ran for I = 109.695, e0=0.003, amp=6.416
Ran for I = 109.735, e0=0.003, amp=6.429
